parola,categoria,prefisso_numerico,info_grammaticale,pos,gender,info_verbali
design,alto_uso,,s.m.inv.,sostantivo,maschile; invariabile,
dessert,alta_disponibilita,,s.m.inv.,sostantivo,maschile; invariabile,
destinare,fondamentale,,v.tr.,verbo,,v.tr.
destinazione,alto_uso,,s.f.,sostantivo,femminile,
destino,fondamentale,,s.m.,sostantivo,maschile,
destra,fondamentale,,s.f.,sostantivo,femminile,
destro,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
detective,alto_uso,,s.m.inv.,sostantivo,maschile; invariabile,
detenere,alto_uso,,v.tr.,verbo,,v.tr.
detenuto,alta_disponibilita,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
determinare,fondamentale,,v.tr.,verbo,,v.tr.
determinato,fondamentale,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
determinazione,alto_uso,,s.f.,sostantivo,femminile,
detersivo,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
dettagliato,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
dettaglio,fondamentale,,s.m.,sostantivo,maschile,
dettare,alto_uso,,v.tr.,verbo,,v.tr.
dettato,alta_disponibilita,1,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
devastare,alto_uso,,v.tr.,verbo,,v.tr.
deviare,alta_disponibilita,,v.intr. e tr.,verbo,,v.intr. e tr.
deviazione,alto_uso,,s.f.,sostantivo,femminile,
di,alto_uso,1,prep.,preposizione,,
di,alto_uso,2,s.f. e m. inv.,sostantivo,femminile e maschile; invariabile,
diagnosi,alto_uso,,s.f.inv.,sostantivo,femminile; invariabile,
dialetto,fondamentale,,s.m.,sostantivo,maschile,
dialogare,alto_uso,,v.intr. e tr.,verbo,,v.intr. e tr.
dialogo,fondamentale,,s.m.,sostantivo,maschile,
diamante,fondamentale,,s.m.,sostantivo,maschile,
diametro,alto_uso,,s.m.,sostantivo,maschile,
diario,alto_uso,,"s.m., agg.",sostantivo; aggettivo,maschile,
diavolo,fondamentale,,s.m.,sostantivo,maschile,
dibattito,alto_uso,,s.m.,sostantivo,maschile,
dicembre,fondamentale,,s.m.,sostantivo,maschile,
dichiarare,fondamentale,,v.tr.,verbo,,v.tr.
dichiarazione,fondamentale,,s.f.,sostantivo,femminile,
diciotto,alto_uso,,"agg. num.card.inv., s.m.inv., s.f.pl.",aggettivo; sostantivo,maschile; femminile; invariabile; plurale,
dieci,fondamentale,,"agg.num.card.inv., s.m.inv., s.m.pl., s.f.pl.",aggettivo numerale cardinale; aggettivo; sostantivo,maschile; femminile; invariabile; plurale,
diecimila,alto_uso,,"agg.num.card.inv., s.m.inv.",aggettivo numerale cardinale; aggettivo; sostantivo,maschile; invariabile,
dieta,alto_uso,1,s.f.,sostantivo,femminile,
dietetico,alta_disponibilita,,agg.,aggettivo,,
dietro,fondamentale,,"prep., avv., agg.inv., s.m.",preposizione; avverbio; aggettivo; sostantivo,maschile; invariabile,
difendere,fondamentale,,v.tr.,verbo,,v.tr.
difensore,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
difesa,fondamentale,,s.f.,sostantivo,femminile,
difetto,alto_uso,,s.m.,sostantivo,maschile,
differente,fondamentale,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
differenza,fondamentale,,s.f.,sostantivo,femminile,
difficile,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
difficilmente,alto_uso,,avv.,avverbio,,
difficoltà,fondamentale,,s.f.inv.,sostantivo,femminile; invariabile,
diffidente,alta_disponibilita,,"agg., s.m. e f.",aggettivo; sostantivo,maschile e femminile,
diffidenza,alta_disponibilita,,s.f.,sostantivo,femminile,
diffondere,fondamentale,,v.tr.,verbo,,v.tr.
diffusione,alto_uso,,s.f.,sostantivo,femminile,
diffuso,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
diga,alta_disponibilita,,s.f.,sostantivo,femminile,
digestione,alta_disponibilita,,s.f.,sostantivo,femminile,
digestivo,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
digitale,alto_uso,3,"agg., s.m.",aggettivo; sostantivo,maschile,
digiunare,alta_disponibilita,,v.intr.,verbo,,v.intr.
dignità,alto_uso,,s.f.inv.,sostantivo,femminile; invariabile,
diluvio,alta_disponibilita,1,s.m.,sostantivo,maschile,
dimagrante,alta_disponibilita,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
dimensione,fondamentale,,s.f.,sostantivo,femminile,
dimenticare,fondamentale,,v.tr.,verbo,,v.tr.
dimettere,alto_uso,,v.tr.,verbo,,v.tr.
dimezzare,alta_disponibilita,,v.tr.,verbo,,v.tr.
diminuire,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
dimostrare,fondamentale,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
dimostrazione,alto_uso,,s.f.,sostantivo,femminile,
dinamica,alto_uso,,s.f.,sostantivo,femminile,
dinamico,alto_uso,,agg.,aggettivo,,
dinosauro,alta_disponibilita,,s.m.,sostantivo,maschile,
dintorno,alto_uso,,"avv., s.m.",avverbio; sostantivo,maschile,
dio,fondamentale,1,s.m.,sostantivo,maschile,
dipartimento,alto_uso,1,s.m.,sostantivo,maschile,
dipendente,fondamentale,,"p.pres., agg., s.m. e f.",verbo; participio presente; aggettivo; sostantivo,maschile e femminile,p.pres.
dipendenza,alto_uso,1,s.f.,sostantivo,femminile,
dipendere,fondamentale,,v.intr.,verbo,,v.intr.
dipingere,alto_uso,,v.tr.,verbo,,v.tr.
dipinto,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
diploma,alto_uso,,s.m.,sostantivo,maschile,
diplomatico,alto_uso,1,"agg., s.m.",aggettivo; sostantivo,maschile,
dire,fondamentale,,"v.tr. e intr., s.m.",verbo; sostantivo,maschile,v.tr. e intr.
diretta,alto_uso,,s.f.,sostantivo,femminile,
direttamente,fondamentale,,avv.,avverbio,,
diretto,fondamentale,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
direttore,fondamentale,,"s.m., agg.",sostantivo; aggettivo,maschile,
direttrice,alta_disponibilita,,s.f.,sostantivo,femminile,
direzione,fondamentale,,s.f.,sostantivo,femminile,
dirigente,alto_uso,,"agg., s.m. e f.",aggettivo; sostantivo,maschile e femminile,
dirigere,fondamentale,,v.tr.,verbo,,v.tr.
diritto,fondamentale,1,s.m.,sostantivo,maschile,
disagio,alto_uso,,s.m.,sostantivo,maschile,
disastro,alto_uso,,s.m.,sostantivo,maschile,
disattento,alta_disponibilita,,agg.,aggettivo,,
discarica,alto_uso,,s.f.,sostantivo,femminile,
discendere,alto_uso,,v.intr. e tr.,verbo,,v.intr. e tr.
discepolo,alto_uso,,s.m.,sostantivo,maschile,
discesa,alto_uso,,s.f.,sostantivo,femminile,
disciplina,alto_uso,,s.f.,sostantivo,femminile,
disco,fondamentale,1,s.m.,sostantivo,maschile,
discordia,alta_disponibilita,,s.f.,sostantivo,femminile,
discorso,fondamentale,1,s.m.,sostantivo,maschile,
discoteca,alto_uso,,s.f.,sostantivo,femminile,
discreto,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
discussione,fondamentale,,s.f.,sostantivo,femminile,
discusso,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
discutere,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
disegnare,fondamentale,,v.tr.,verbo,,v.tr.
disegno,fondamentale,,s.m.,sostantivo,maschile,
diseredare,alta_disponibilita,,v.tr.,verbo,,v.tr.
disgrazia,alto_uso,,s.f.,sostantivo,femminile,
disinfettante,alta_disponibilita,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
disinfettare,alta_disponibilita,,v.tr.,verbo,,v.tr.
disinteresse,alta_disponibilita,,s.m.,sostantivo,maschile,
disoccupazione,alto_uso,1,s.f.,sostantivo,femminile,
disonesto,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
disordinato,alta_disponibilita,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
disordine,alto_uso,,s.m.,sostantivo,maschile,
dispari,alta_disponibilita,,agg.inv.,aggettivo,invariabile,
dispensa,alta_disponibilita,1,s.f.,sostantivo,femminile,
disperare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
disperato,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
disperazione,alto_uso,,s.f.,sostantivo,femminile,
disperdere,alto_uso,,v.tr.,verbo,,v.tr.
dispetto,alto_uso,1,s.m.,sostantivo,maschile,
dispettoso,alta_disponibilita,,agg.,aggettivo,,
dispiacere,fondamentale,1,v.intr.,verbo,,v.intr.
disponibile,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
disponibilità,alta_disponibilita,,s.f.inv.,sostantivo,femminile; invariabile,
disporre,fondamentale,,v.tr. e intr.,verbo,,v.tr. e intr.
dispositivo,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
disposizione,fondamentale,1,s.f.,sostantivo,femminile,
disprezzo,alto_uso,,s.m.,sostantivo,maschile,
dissenso,alta_disponibilita,,s.m.,sostantivo,maschile,
distacco,alto_uso,,s.m.,sostantivo,maschile,
distante,alto_uso,,"p.pres., agg., avv.",verbo; participio presente; aggettivo; avverbio,,p.pres.
distanza,fondamentale,,s.f.,sostantivo,femminile,
distendere,alto_uso,,v.tr.,verbo,,v.tr.
disteso,alta_disponibilita,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
distinguere,alto_uso,,v.tr.,verbo,,v.tr.
distintivo,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
distinto,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
distinzione,alto_uso,,s.f.,sostantivo,femminile,
distrarre,alto_uso,,v.tr.,verbo,,v.tr.
distratto,alta_disponibilita,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
distrazione,alta_disponibilita,,s.f.,sostantivo,femminile,
distretto,alto_uso,1,s.m.,sostantivo,maschile,
distribuire,fondamentale,,v.tr.,verbo,,v.tr.
distributore,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
distribuzione,alto_uso,,s.f.,sostantivo,femminile,
distruggere,fondamentale,,v.tr.,verbo,,v.tr.
distrutto,alta_disponibilita,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
distruzione,alto_uso,,s.f.,sostantivo,femminile,
disturbare,alto_uso,,v.tr.,verbo,,v.tr.
disturbo,alto_uso,,s.m.,sostantivo,maschile,
disubbidiente,alta_disponibilita,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
disubbidienza,alta_disponibilita,,s.f.,sostantivo,femminile,
disubbidire,alta_disponibilita,,v.intr.,verbo,,v.intr.
dito,fondamentale,,s.m.,sostantivo,maschile,
ditta,alto_uso,,s.f.,sostantivo,femminile,
dittatura,alto_uso,,s.f.,sostantivo,femminile,
divano,fondamentale,,s.m.,sostantivo,maschile,
divano-letto,alta_disponibilita,,s.m.,sostantivo,maschile,
divenire,fondamentale,,"v.intr., s.m.",verbo; sostantivo,maschile,v.intr.
diventare,fondamentale,,v.intr.,verbo,,v.intr.
diversamente,alto_uso,,avv.,avverbio,,
diversità,alto_uso,,s.f.inv.,sostantivo,femminile; invariabile,
diverso,fondamentale,,"agg., agg.indef., pron.indef., s.m.",aggettivo; aggettivo indefinito; pronome; sostantivo,maschile; femminile,
divertente,fondamentale,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
divertimento,alto_uso,,s.m.,sostantivo,maschile,
divertire,fondamentale,,v.tr.,verbo,,v.tr.
divertito,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
dividere,fondamentale,,v.tr.,verbo,,v.tr.
divieto,alto_uso,,s.m.,sostantivo,maschile,
divinità,alto_uso,,s.f.inv.,sostantivo,femminile; invariabile,
divino,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
divisa,alto_uso,1,s.f.,sostantivo,femminile,
divisione,alto_uso,,s.f.,sostantivo,femminile,
divorare,alto_uso,,v.tr.,verbo,,v.tr.
divorziare,alta_disponibilita,,v.intr.,verbo,,v.intr.
divorzio,alto_uso,,s.m.,sostantivo,maschile,
dizionario,alto_uso,,s.m.,sostantivo,maschile,
do,alta_disponibilita,1,s.m.inv.,sostantivo,maschile; invariabile,
doccia,alto_uso,,s.f.,sostantivo,femminile,
docciaschiuma,alta_disponibilita,,s.m.inv.,sostantivo,maschile; invariabile,
docente,alto_uso,,"p.pres., agg., s.m. e f.",verbo; participio presente; aggettivo; sostantivo,maschile e femminile,p.pres.
docile,alta_disponibilita,,agg.,aggettivo,,
documentare,alto_uso,,v.tr.,verbo,,v.tr.
documentario,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
documentazione,alto_uso,,s.f.,sostantivo,femminile,
documento,fondamentale,,s.m.,sostantivo,maschile,
dodici,fondamentale,,"agg.num.card.inv., s.m.inv., s.f.pl., s.m.pl.",aggettivo numerale cardinale; aggettivo; sostantivo,maschile; femminile; invariabile; plurale,
dogana,alta_disponibilita,,s.f.,sostantivo,femminile,
dolce,fondamentale,,"agg., s.m., avv.",aggettivo; sostantivo; avverbio,maschile,
dolcezza,alto_uso,,s.f.,sostantivo,femminile,
dolcificante,alta_disponibilita,,"p.pres., agg., s.m.",verbo; participio presente; aggettivo; sostantivo,maschile,p.pres.
dolciume,alta_disponibilita,,s.m.,sostantivo,maschile,
dolere,alta_disponibilita,,v.intr.,verbo,,v.intr.
dolersi,alta_disponibilita,,v.pronom. intr.,verbo,maschile,v.pronom.intr.
dollaro,fondamentale,,s.m.,sostantivo,maschile,
dolore,fondamentale,,s.m.,sostantivo,maschile,
doloroso,alto_uso,,agg.,aggettivo,,
domanda,fondamentale,,s.f.,sostantivo,femminile,
domandare,fondamentale,,v.tr. e intr.,verbo,,v.tr. e intr.
domani,fondamentale,,"avv., s.m.inv.",avverbio; sostantivo,maschile; invariabile,
domenica,fondamentale,,s.f.,sostantivo,femminile,
domestica,alta_disponibilita,,s.f.,sostantivo,femminile,
domestico,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
dominante,alto_uso,,"p.pres., agg., s.m. e f.",verbo; participio presente; aggettivo; sostantivo,maschile e femminile,p.pres.
dominare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
dominio,alto_uso,,s.m.,sostantivo,maschile,
don,fondamentale,,s.m.inv.,sostantivo,maschile; invariabile,
donare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
dondolare,alta_disponibilita,,v.tr. e intr.,verbo,,v.tr. e intr.
donna,fondamentale,,s.f.,sostantivo,femminile,
dono,alto_uso,,s.m.,sostantivo,maschile,
dopo,fondamentale,,"avv., prep., cong., agg.inv., s.m.inv.",avverbio; preposizione; congiunzione; aggettivo; sostantivo,maschile; invariabile,
dopobarba,alta_disponibilita,,s.m.inv.,sostantivo,maschile; invariabile,
doppio,fondamentale,,"agg., s.m., avv.",aggettivo; sostantivo; avverbio,maschile,
doppione,alta_disponibilita,,s.m.,sostantivo,maschile,
dorato,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
dormiglione,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
dormire,fondamentale,,"v.intr., v.tr.",verbo,,v.intr.; v.tr.
dorso,alto_uso,,s.m.,sostantivo,maschile,
dose,alto_uso,,s.f.,sostantivo,femminile,
dotare,alto_uso,,v.tr.,verbo,,v.tr.
dotato,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
dote,alto_uso,,s.f.,sostantivo,femminile,
dottore,fondamentale,,s.m.,sostantivo,maschile,
dottoressa,alto_uso,,s.f.,sostantivo,femminile,
dottrina,alto_uso,,s.f.,sostantivo,femminile,
dove,fondamentale,,"avv., cong., s.m.inv.",avverbio; congiunzione; sostantivo,maschile; invariabile,
dovere,fondamentale,1,v.tr.,verbo,,v.tr.
dovere,fondamentale,2,s.m.,sostantivo,maschile,
dovuto,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
dozzina,alto_uso,,s.f.,sostantivo,femminile,
drago,alto_uso,,s.m.,sostantivo,maschile,
dramma,alto_uso,1,s.m.,sostantivo,maschile,
drammatico,alto_uso,,agg.,aggettivo,,
dritto,alto_uso,1,"agg., avv., s.m.",aggettivo; avverbio; sostantivo,maschile,
drizzare,alta_disponibilita,,"v.tr., v.intr.",verbo,,v.tr.; v.intr.
droga,fondamentale,,s.f.,sostantivo,femminile,
drogare,alto_uso,,v.tr.,verbo,,v.tr.
drogato,alta_disponibilita,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
dubbio,fondamentale,1,s.m.,sostantivo,maschile,
dubbio,fondamentale,2,agg.,aggettivo,,
dubitare,alto_uso,,v.intr. e tr.,verbo,,v.intr. e tr.
dublinese,alto_uso,,"agg., s.m. e f.",aggettivo; sostantivo,maschile e femminile,
due,fondamentale,,"agg.num.card.inv., s.m.inv., s.f.pl.",aggettivo numerale cardinale; aggettivo; sostantivo,maschile; femminile; invariabile; plurale,
duecento,alto_uso,,"agg.num.card.inv., s.m.inv.",aggettivo numerale cardinale; aggettivo; sostantivo,maschile; invariabile,
duello,alto_uso,,s.m.,sostantivo,maschile,
duemila,alto_uso,,"agg. num.card.inv., s.m.inv.",aggettivo; sostantivo,maschile; invariabile,
dunque,fondamentale,,"cong., s.m.inv.",congiunzione; sostantivo,maschile; invariabile,
duomo,alta_disponibilita,1,s.m.,sostantivo,maschile,
durante,fondamentale,,"p.pres., prep., s.m.inv.",verbo; participio presente; preposizione; sostantivo,maschile; invariabile,p.pres.
durare,fondamentale,,"v.intr., v.tr.",verbo,,v.intr.; v.tr.
durata,fondamentale,,s.f.,sostantivo,femminile,
duro,fondamentale,1,"agg., s.m., avv. 1e s.f. e m.inv., 2e cong.",aggettivo; sostantivo; avverbio; congiunzione,femminile e maschile; maschile; invariabile,
ebbene,alto_uso,,cong.,congiunzione,,
ebraico,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
ebreo,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
eccellente,alto_uso,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
eccellenza,alto_uso,,s.f.,sostantivo,femminile,
eccessivo,alto_uso,,agg.,aggettivo,,
eccesso,alto_uso,,s.m.,sostantivo,maschile,
eccetera,alto_uso,,avv.,avverbio,,
eccezionale,alto_uso,,agg.,aggettivo,,
eccezione,alto_uso,,s.f.,sostantivo,femminile,
eccitare,alto_uso,,v.tr.,verbo,,v.tr.
ecco,fondamentale,1,avv.,avverbio,,
eco,alto_uso,1,"s.f.inv., s.m.",sostantivo,maschile; femminile; invariabile,
ecologico,alto_uso,,agg.,aggettivo,,
economia,fondamentale,,s.f.,sostantivo,femminile,
economico,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
economista,alto_uso,,s.m. e f.,sostantivo,maschile e femminile,
edicola,fondamentale,,s.f.,sostantivo,femminile,
edificio,fondamentale,,s.m.,sostantivo,maschile,
editore,fondamentale,,"s.m., agg.",sostantivo; aggettivo,maschile,
editoriale,alto_uso,1,"agg., s.m.",aggettivo; sostantivo,maschile,
edizione,fondamentale,,s.f.,sostantivo,femminile,
educare,alto_uso,,v.tr.,verbo,,v.tr.
educativo,alto_uso,,agg.,aggettivo,,
educato,alta_disponibilita,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
educazione,fondamentale,,s.f.,sostantivo,femminile,
effe,alta_disponibilita,,s.f. e m.inv.,sostantivo,femminile e maschile; invariabile,
effettivamente,fondamentale,,avv.,avverbio,,
effettivo,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
effetto,fondamentale,,s.m.,sostantivo,maschile,
effettuare,fondamentale,,v.tr.,verbo,,v.tr.
efficace,alto_uso,,agg.,aggettivo,,
efficacia,alto_uso,,s.f.,sostantivo,femminile,
efficiente,alto_uso,,agg.,aggettivo,,
efficienza,alto_uso,,s.f.,sostantivo,femminile,
egiziano,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
egli,fondamentale,1,pron.pers. di terza pers.m.sing.,pronome; sostantivo,maschile; singolare,
elaborare,alto_uso,,v.tr.,verbo,,v.tr.
elaborazione,alto_uso,,s.f.,sostantivo,femminile,
elastico,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
elegante,fondamentale,,agg.,aggettivo,,
eleganza,alto_uso,,s.f.,sostantivo,femminile,
eleggere,alto_uso,,v.tr.,verbo,,v.tr.
elementare,fondamentale,,agg.,aggettivo,,
elemento,fondamentale,,s.m.,sostantivo,maschile,
elemosina,alta_disponibilita,,s.f.,sostantivo,femminile,
elencare,alto_uso,,v.tr.,verbo,,v.tr.
elenco,fondamentale,,s.m.,sostantivo,maschile,
elettorale,alto_uso,,agg.,aggettivo,,
elettore,alto_uso,,s.m.,sostantivo,maschile,
elettricista,alta_disponibilita,,s.m. e f.,sostantivo,maschile e femminile,
elettricità,alta_disponibilita,,s.f.inv.,sostantivo,femminile; invariabile,
elettrico,fondamentale,,"agg., s.m.",aggettivo; sostantivo,maschile,
elettrodomestico,alta_disponibilita,,s.m.,sostantivo,maschile,
elettromagnetico,alto_uso,,agg.,aggettivo,,
elettrone,alto_uso,,s.m.,sostantivo,maschile,
elettronico,fondamentale,,agg.,aggettivo,,
elevare,alto_uso,,v.tr.,verbo,,v.tr.
elevato,alto_uso,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
elezione,alto_uso,,s.f.,sostantivo,femminile,
elica,alta_disponibilita,,s.f.,sostantivo,femminile,
elicottero,alta_disponibilita,,s.m.,sostantivo,maschile,
eliminare,fondamentale,,v.tr.,verbo,,v.tr.
eliminazione,alto_uso,,s.f.,sostantivo,femminile,
elle,alta_disponibilita,,s.f. e m.inv.,sostantivo,femminile e maschile; invariabile,
elmo,alta_disponibilita,,s.m.,sostantivo,maschile,
e-mail,fondamentale,,s.f.inv.,sostantivo,femminile; invariabile,
emanare,alto_uso,,v.intr. e tr.,verbo,,v.intr. e tr.
emergenza,alto_uso,,s.f.,sostantivo,femminile,
emergere,fondamentale,,v.intr.,verbo,,v.intr.
emettere,alto_uso,,v.tr.,verbo,,v.tr.
emigrazione,alta_disponibilita,,s.f.,sostantivo,femminile,
emiliano,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
emissione,alto_uso,,s.f.,sostantivo,femminile,
emme,alta_disponibilita,,s.f. e m.inv.,sostantivo,femminile e maschile; invariabile,
emmenthal,alta_disponibilita,,s.m.inv.,sostantivo,maschile; invariabile,
emo,alto_uso,,s.m.inv.,sostantivo,maschile; invariabile,
emotivo,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
emozionante,alta_disponibilita,,"p.pres., agg.",verbo; participio presente; aggettivo,,p.pres.
emozionare,alto_uso,,v.tr.,verbo,,v.tr.
emozionato,alta_disponibilita,,"p.pass., agg.",verbo; participio passato; aggettivo,,p.pass.
emozione,fondamentale,,s.f.,sostantivo,femminile,
enciclopedia,alta_disponibilita,,s.f.,sostantivo,femminile,
energetico,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
energia,fondamentale,,s.f.,sostantivo,femminile,
enne,alta_disponibilita,,s.f. e m.inv.,sostantivo,femminile e maschile; invariabile,
ennesimo,alto_uso,,agg.,aggettivo,,
enorme,fondamentale,,agg.,aggettivo,,
ente,fondamentale,,s.m.,sostantivo,maschile,
entità,alto_uso,,s.f.inv.,sostantivo,femminile; invariabile,
entrambi,fondamentale,,"pron.num.pl., agg.num.pl.",pronome; aggettivo,maschile; plurale,
entrare,fondamentale,,"v.intr., v.tr., s.m.",verbo; sostantivo,maschile,v.intr.; v.tr.
entrata,fondamentale,,s.f.,sostantivo,femminile,
entro,fondamentale,,"prep., avv.",preposizione; avverbio,,
entusiasmo,alto_uso,,s.m.,sostantivo,maschile,
entusiasta,alto_uso,,"agg., s.m. e f.",aggettivo; sostantivo,maschile e femminile,
epifania,alta_disponibilita,,s.f.,sostantivo,femminile,
episodio,fondamentale,,s.m.,sostantivo,maschile,
epoca,fondamentale,,s.f.,sostantivo,femminile,
eppure,fondamentale,,cong.,congiunzione,,
equazione,alto_uso,,s.f.,sostantivo,femminile,
equilibrio,fondamentale,,s.m.,sostantivo,maschile,
equino,alta_disponibilita,,"agg., s.m.",aggettivo; sostantivo,maschile,
equipaggio,alta_disponibilita,,s.m.,sostantivo,maschile,
equivalere,alto_uso,,v.intr.,verbo,,v.intr.
equivoco,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
era,fondamentale,,s.f.,sostantivo,femminile,
erba,alto_uso,,s.f.,sostantivo,femminile,
erede,alto_uso,,s.m. e f.,sostantivo,maschile e femminile,
eredità,alto_uso,,s.f.inv.,sostantivo,femminile; invariabile,
ereditare,alto_uso,,v.tr.,verbo,,v.tr.
ergastolo,alta_disponibilita,,s.m.,sostantivo,maschile,
ergere,alto_uso,,v.tr.,verbo,,v.tr.
ernia,alta_disponibilita,,s.f.,sostantivo,femminile,
eroe,fondamentale,,s.m.,sostantivo,maschile,
eroina,alta_disponibilita,1,s.f.,sostantivo,femminile,
erotico,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
errare,alto_uso,,"v.intr., v.tr.",verbo,,v.intr.; v.tr.
erre,alta_disponibilita,1,s.f. e m.inv.,sostantivo,femminile e maschile; invariabile,
errore,fondamentale,,s.m.,sostantivo,maschile,
esagerare,alto_uso,,v.tr. e intr.,verbo,,v.tr. e intr.
esagerato,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
esagerazione,alta_disponibilita,,s.f.,sostantivo,femminile,
esagono,alta_disponibilita,,"s.m., agg.",sostantivo; aggettivo,maschile,
esaltare,alto_uso,,v.tr.,verbo,,v.tr.
esaltazione,alta_disponibilita,,s.f.,sostantivo,femminile,
esame,fondamentale,,s.m.,sostantivo,maschile,
esaminare,alto_uso,,v.tr.,verbo,,v.tr.
esattamente,fondamentale,,avv.,avverbio,,
esatto,fondamentale,1,"agg., avv.",aggettivo; avverbio,,
esaurire,alto_uso,,v.tr.,verbo,,v.tr.
esca,alta_disponibilita,,s.f.,sostantivo,femminile,
eschimese,alta_disponibilita,,"agg., s.m. e f.",aggettivo; sostantivo,maschile e femminile,
esclamare,alto_uso,,v.tr.,verbo,,v.tr.
esclamazione,alta_disponibilita,,s.f.,sostantivo,femminile,
escludere,fondamentale,,v.tr.,verbo,,v.tr.
esclusione,alto_uso,,s.f.,sostantivo,femminile,
esclusivamente,alto_uso,,avv.,avverbio,,
esclusivo,alto_uso,,agg.,aggettivo,,
escluso,alto_uso,,"p.pass., agg., s.m.",verbo; participio passato; aggettivo; sostantivo,maschile,p.pass.
esecutivo,alto_uso,,"agg., s.m.",aggettivo; sostantivo,maschile,
esecuzione,alto_uso,,s.f.,sostantivo,femminile,
eseguire,fondamentale,,v.tr.,verbo,,v.tr.
esempio,fondamentale,,s.m.,sostantivo,maschile,
esemplare,alto_uso,1,s.m.,sostantivo,maschile,
esemplare,alto_uso,2,agg.,aggettivo,,
esercitare,alto_uso,,v.tr.,verbo,,v.tr.
esercito,fondamentale,1,s.m.,sostantivo,maschile,
esercizio,fondamentale,,s.m.,sostantivo,maschile,
