parola,categoria,prefisso_numerico,info_grammaticale
contadino,alto_uso,,"s.m., agg."
contagiare,alta_disponibilita,,v.tr.
contagio,alta_disponibilita,,s.m.
contagioso,alta_disponibilita,,agg.
contagocce,alta_disponibilita,,s.m.inv.
contaminare,alto_uso,,v.tr.
contante,alto_uso,,"p.pres., agg., s.m."
contare,fondamentale,,v.tr. e intr.
contatore,alta_disponibilita,,s.m.
contattare,alto_uso,,v.tr.
contatto,fondamentale,,s.m.
conte,alto_uso,,s.m.
contemplare,alto_uso,,v.tr.
contemporaneamente,alto_uso,,avv.
contemporaneo,fondamentale,,"agg., s.m."
contenere,fondamentale,,v.tr.
contenitore,alto_uso,,"agg., s.m."
contentare,alto_uso,,v.tr.
contentezza,alta_disponibilita,,s.f.
contento,fondamentale,1,agg.
contenuto,fondamentale,,"p.pass., agg., s.m."
contestare,alto_uso,,"v.tr., v.intr."
contestazione,alto_uso,,s.f.
contesto,fondamentale,1,s.m.
continente,alto_uso,1,s.m.
continuamente,alto_uso,,avv.
continuare,fondamentale,,v.tr. e intr.
continuazione,alto_uso,,s.f.
continuità,alto_uso,,s.f.inv.
continuo,fondamentale,,"agg., s.m., avv."
conto,fondamentale,1,s.m.
contorno,alto_uso,,s.m.
contrabbandiere,alta_disponibilita,,s.m.
contrabbando,alto_uso,,s.m.
contraccambiare,alta_disponibilita,,v.tr.
contraddizione,alto_uso,,s.f.
contrario,fondamentale,,"agg., s.m."
contrarre,alto_uso,,v.tr.
contrastare,alto_uso,,v.intr. e tr.
contrasto,alto_uso,,s.m.
contratto,fondamentale,1,s.m.
contribuire,alto_uso,,"v.intr., v.tr."
contributo,alto_uso,,s.m.
contro,fondamentale,1,"prep., avv., s.m.inv."
controllare,fondamentale,,v.tr.
controllo,fondamentale,,s.m.
controllore,alta_disponibilita,,s.m.
convegno,alto_uso,,s.m.
conveniente,alto_uso,,"p.pres., agg."
convenire,alto_uso,,v.intr. e tr.
convenzione,alto_uso,,s.f.
conversazione,fondamentale,,s.f.
conversione,alto_uso,,s.f.
convertire,alto_uso,,v.tr.
convincente,alto_uso,,"p.pres., agg."
convincere,fondamentale,,v.tr.
convinto,alto_uso,,"p.pass., agg."
convinzione,alto_uso,,s.f.
convivenza,alto_uso,,s.f.
convivere,alto_uso,,v.intr.
convocare,alto_uso,,v.tr.
convulsione,alta_disponibilita,,s.f.
coordinamento,alto_uso,,s.m.
coordinare,alto_uso,,v.tr.
coperchio,alta_disponibilita,,s.m.
coperta,alto_uso,,s.f.
copertina,alto_uso,,s.f.
coperto,alto_uso,,"p.pass., agg., s.m."
copertura,alto_uso,,s.f.
copia,fondamentale,1,s.f.
copiare,alto_uso,,v.tr.
copione,alto_uso,1,s.m.
coppa,alto_uso,1,s.f.
coppia,fondamentale,,s.f.
copricostume,alta_disponibilita,,s.m.
copriletto,alta_disponibilita,,s.m.
coprire,fondamentale,,v.tr.
copyright,alto_uso,,s.m.inv.
coraggio,fondamentale,,"s.m., inter."
coraggioso,alto_uso,,agg.
corallo,alta_disponibilita,1,"s.m., s.m.inv., agg.inv."
corazza,alta_disponibilita,,s.f.
corazzata,alta_disponibilita,,s.f.
corazziere,alta_disponibilita,,s.m.
corda,fondamentale,,s.f.
coriandolo,alta_disponibilita,,s.m.
coricare,alta_disponibilita,,"v.tr., v.intr."
cornacchia,alta_disponibilita,,s.f.
cornetto,alta_disponibilita,,s.m.
cornice,alto_uso,1,s.f.
corno,alto_uso,1,s.m.
cornuto,alta_disponibilita,1,"agg., s.m."
coro,alto_uso,1,s.m.
corona,alto_uso,,s.f.
corpo,fondamentale,,s.m.
corporatura,alta_disponibilita,,s.f.
correggere,fondamentale,,v.tr.
corrente,fondamentale,1,"p.pres., agg., s.f., s.m., avv."
correre,fondamentale,,v.intr. e tr.
correttamente,alto_uso,,avv.
corretto,alto_uso,,"p.pass., agg."
correzione,alta_disponibilita,,s.f.
corridoio,alto_uso,,s.m.
corridore,alta_disponibilita,1,"agg., s.m."
corriera,alta_disponibilita,,s.f.
corriere,fondamentale,,s.m.
corrispondente,alto_uso,,"p.pres., agg., s.m. e f."
corrispondenza,alto_uso,,s.f.
corrispondere,fondamentale,,v.intr. e tr.
corruzione,alto_uso,,s.f.
corsa,fondamentale,1,s.f.
corsia,alta_disponibilita,,s.f.
corso,fondamentale,1,s.m.
corte,fondamentale,,s.f.
corteccia,alta_disponibilita,,s.f.
corteggiare,alta_disponibilita,,v.tr.
cortesia,alto_uso,,s.f.
cortile,alto_uso,,s.m.
corto,fondamentale,1,agg.
corvo,alta_disponibilita,1,s.m.
cosa,fondamentale,,s.f.
coscia,alto_uso,,s.f.
cosciente,alta_disponibilita,,agg.
coscienza,fondamentale,,s.f.
così,fondamentale,,avv.
cosiddetto,fondamentale,,agg.
costa,fondamentale,,s.f.
costante,alto_uso,,"agg., s.f."
costantemente,alto_uso,,avv.
costare,fondamentale,,v.intr.
costellazione,alto_uso,,s.f.
costituire,fondamentale,,v.tr.
costituzionale,alto_uso,,agg.
costituzione,alto_uso,,s.f.
costo,fondamentale,1,s.m.
costoso,alto_uso,,agg.
costringere,fondamentale,,v.tr.
costruire,fondamentale,,v.tr.
costruttivo,alto_uso,,agg.
costruzione,fondamentale,,s.f.
costume,fondamentale,,s.m.
cotoletta,alta_disponibilita,,s.f.
cotone,alto_uso,,s.m.
cottura,alta_disponibilita,,s.f.
covare,alta_disponibilita,,"v.tr., v.intr."
covo,alta_disponibilita,,s.m.
cozza,alta_disponibilita,,s.f.
cracker,alta_disponibilita,,s.m.inv.
cranio,alto_uso,,s.m.
cravatta,alto_uso,,s.f.
creare,fondamentale,,v.tr.
creatività,alto_uso,,s.f.inv.
creativo,alto_uso,,"agg., s.m."
creatura,alto_uso,,s.f.
creazione,alto_uso,,s.f.
credente,alto_uso,,"p.pres., agg., s.m. e f."
credenza,alta_disponibilita,1,s.f.
credere,fondamentale,,"v.intr. e tr., s.m."
credibile,alto_uso,,agg.
credito,fondamentale,,s.m.
creditore,alto_uso,,s.m.
credo,alta_disponibilita,,s.m.inv.
crema,alto_uso,,"s.f., s.m.inv., agg.inv."
crepaccio,alta_disponibilita,,s.m.
crêpe,alta_disponibilita,1,s.f.inv.
crescente,alto_uso,,"p.pres., agg., s.m., s.f."
crescere,fondamentale,,v.intr. e tr.
crescita,fondamentale,,s.f.
cretino,alto_uso,,"agg., s.m."
criceto,alta_disponibilita,,s.m.
criminale,alto_uso,,"agg., s.m. e f."
crimine,alto_uso,,s.m.
criniera,alta_disponibilita,,s.f.
crisantemo,alta_disponibilita,,s.m.
crisi,fondamentale,,s.f.inv.
cristallo,alto_uso,,s.m.
cristianesimo,alto_uso,,s.m.
cristiano,fondamentale,,"agg., s.m."
criterio,alto_uso,1,s.m.
critica,fondamentale,1,s.f.
criticare,alto_uso,,v.tr.
critico,fondamentale,,"agg., s.m."
croato,alta_disponibilita,,"agg., s.m."
croce,alto_uso,,s.f.
crocifiggere,alta_disponibilita,,v.tr.
crocifisso,alta_disponibilita,,"p.pass., agg., s.m."
crollare,alto_uso,,"v.intr., v.tr."
cronaca,alto_uso,,s.f.
cronico,alto_uso,,"agg., s.m."
cronista,alta_disponibilita,,s.m. e f.
crostaceo,alta_disponibilita,,s.m.
crostino,alta_disponibilita,,s.m.
crudele,alto_uso,,"agg., s.m."
crudo,alto_uso,,"agg., s.m."
cu,alta_disponibilita,,s.f. e m.inv.
cubo,alto_uso,,"s.m., agg."
cucchiaio,alto_uso,,s.m.
cuccia,alta_disponibilita,1,s.f.
cucciolo,alto_uso,,s.m.
cucina,fondamentale,,s.f.
cucinare,fondamentale,,v.tr.
cucire,alto_uso,,v.tr.
cucito,alta_disponibilita,,"p.pass., agg., s.m."
cucitura,alta_disponibilita,,s.f.
cuffia,alto_uso,,s.f.
cugino,alto_uso,1,s.m.
cui,fondamentale,,pron.rel.
cullare,alta_disponibilita,,v.tr.
culo,fondamentale,,s.m.
culto,alto_uso,1,s.m.
cultura,fondamentale,1,s.f.
culturale,fondamentale,,agg.
cumulo,alta_disponibilita,,s.m.
cuocere,alto_uso,,v. tr. e intr.
cuoco,alto_uso,,s.m.
cuore,fondamentale,,s.m.
cupo,alto_uso,,"agg., s.m."
cura,fondamentale,,s.f.
curare,fondamentale,,v.tr.
curiosare,alto_uso,,v.intr.
curiosità,alto_uso,,s.f.inv.
curioso,fondamentale,,"agg., s.m."
curriculum,alto_uso,,"s.m.inv., lat."
curva,alto_uso,1,s.f.
curvo,alto_uso,,"agg., s.m."
cuscino,alto_uso,,s.m.
custode,alto_uso,,"s.m. e f., agg."
custodia,alto_uso,,s.f.
custodire,alto_uso,,v.tr.
da,fondamentale,1,prep.
dado,alta_disponibilita,,s.m.
danese,alta_disponibilita,,"agg., s.m. e f."
dannato,alto_uso,,"p.pass., agg., s.m."
danneggiare,alto_uso,,v.tr.
danno,fondamentale,,s.m.
dannoso,alta_disponibilita,,agg.
danza,alto_uso,,s.f.
dappertutto,alto_uso,,avv.
dare,fondamentale,,"v.tr. e intr., s.m."
data,fondamentale,1,s.f.
dato,fondamentale,,"p.pass., agg., s.m."
dattero,alta_disponibilita,,s.m.
davanti,fondamentale,,"avv., agg.inv., s.m.inv."
davanzale,alta_disponibilita,,s.m.
davvero,fondamentale,,avv.
dea,alto_uso,,s.f.
debito,fondamentale,1,s.m.
debole,fondamentale,,"agg., s.m. e f."
debolezza,alto_uso,,s.f.
decennio,alto_uso,,s.m.
decidere,fondamentale,,v.tr. e intr.
decina,fondamentale,,s.f.
decisamente,alto_uso,,avv.
decisione,fondamentale,,s.f.
decisivo,alto_uso,,agg.
deciso,alto_uso,,"p.pass., agg."
decorare,alto_uso,,v.tr.
decorato,alta_disponibilita,,"p.pass., agg., s.m."
decorazione,alto_uso,,s.f.
decoroso,alta_disponibilita,,agg.
decreto,alto_uso,1,s.m.
dedica,alta_disponibilita,,s.f.
dedicare,fondamentale,,v.tr.
dedurre,alto_uso,,v.tr.
deficiente,alto_uso,,"agg., s.m."
definire,fondamentale,,v.tr.
definitivamente,alto_uso,,avv.
definitivo,fondamentale,,"agg., s.m."
definizione,fondamentale,,s.f.
deformare,alta_disponibilita,,v.tr.
deforme,alta_disponibilita,,"agg., s.m."
defunto,alto_uso,,"p.pass., agg., s.m."
degno,alto_uso,,agg.
degradare,alto_uso,,v.tr.
delegare,alto_uso,,v.tr.
delegato,alto_uso,,"p.pass., agg., s.m."
delegazione,alta_disponibilita,,s.f.
delfino,alta_disponibilita,1,s.m.
delicatezza,alta_disponibilita,,s.f.
delicato,alto_uso,,"agg., s.m."
delinquente,alta_disponibilita,,"p.pres., agg., s.m. e f."
delirare,alta_disponibilita,,v.intr.
delirio,alto_uso,,s.m.
delitto,alto_uso,,s.m.
delizia,alta_disponibilita,1,s.f.
delizioso,alto_uso,,agg.
deludere,alto_uso,,v.tr.
delusione,alto_uso,,s.f.
deluso,alto_uso,,"p.pass., agg., s.m."
democratico,alto_uso,,"agg., s.m."
democrazia,fondamentale,,s.f.
democristiano,alta_disponibilita,,"agg., s.m."
demoralizzare,alta_disponibilita,,v.tr.
denaro,fondamentale,,s.m.
denominare,alto_uso,,v.tr.
denso,alto_uso,,agg.
dente,fondamentale,,s.m.
dentiera,alta_disponibilita,,s.f.
dentifricio,alta_disponibilita,,s.m.
dentista,alto_uso,,s.m. e f.
dentro,fondamentale,,"avv., prep., s.m."
denuncia,alto_uso,,s.f.
denunciare,fondamentale,,v.tr.
deodorante,alta_disponibilita,,"p.pres., agg., s.m."
depilazione,alta_disponibilita,,s.f.
deporre,alto_uso,,"v.tr., v.intr."
depositare,alto_uso,,v.tr.
deposito,alto_uso,,s.m.
deposizione,alto_uso,,s.f.
depressione,alto_uso,,s.f.
deprimere,alto_uso,,v.tr.
depuratore,alta_disponibilita,,"agg., s.m."
deputato,alto_uso,,"p.pass., agg., s.m."
derivare,fondamentale,1,v.intr. e tr.
derubare,alta_disponibilita,,v.tr.
descrivere,fondamentale,,v.tr.
descrizione,fondamentale,,s.f.
deserto,alto_uso,1,s.m.
deserto,alto_uso,2,agg.
desiderare,fondamentale,,v.tr.
desiderio,fondamentale,,s.m.
design,alto_uso,,s.m.inv.
dessert,alta_disponibilita,,s.m.inv.
destinare,fondamentale,,v.tr.
destinazione,alto_uso,,s.f.
destino,fondamentale,,s.m.
destra,fondamentale,,s.f.
destro,fondamentale,,"agg., s.m."
detective,alto_uso,,s.m.inv.
detenere,alto_uso,,v.tr.
detenuto,alta_disponibilita,,"p.pass., agg., s.m."
determinare,fondamentale,,v.tr.
determinato,fondamentale,,"p.pass., agg."
determinazione,alto_uso,,s.f.
detersivo,alta_disponibilita,,"agg., s.m."
dettagliato,alto_uso,,"p.pass., agg."
dettaglio,fondamentale,,s.m.
dettare,alto_uso,,v.tr.
dettato,alta_disponibilita,1,"p.pass., agg., s.m."
devastare,alto_uso,,v.tr.
deviare,alta_disponibilita,,v.intr. e tr.
deviazione,alto_uso,,s.f.
di,alto_uso,1,prep.
di,alto_uso,2,s.f. e m. inv.
diagnosi,alto_uso,,s.f.inv.
dialetto,fondamentale,,s.m.
dialogare,alto_uso,,v.intr. e tr.
dialogo,fondamentale,,s.m.
diamante,fondamentale,,s.m.
diametro,alto_uso,,s.m.
diario,alto_uso,,"s.m., agg."
diavolo,fondamentale,,s.m.
dibattito,alto_uso,,s.m.
dicembre,fondamentale,,s.m.
dichiarare,fondamentale,,v.tr.
dichiarazione,fondamentale,,s.f.
diciotto,alto_uso,,"agg. num.card.inv., s.m.inv., s.f.pl."
dieci,fondamentale,,"agg.num.card.inv., s.m.inv., s.m.pl., s.f.pl."
diecimila,alto_uso,,"agg.num.card.inv., s.m.inv."
dieta,alto_uso,1,s.f.
dietetico,alta_disponibilita,,agg.
dietro,fondamentale,,"prep., avv., agg.inv., s.m."
difendere,fondamentale,,v.tr.
difensore,alto_uso,,"agg., s.m."
difesa,fondamentale,,s.f.
difetto,alto_uso,,s.m.
differente,fondamentale,,"p.pres., agg."
differenza,fondamentale,,s.f.
difficile,fondamentale,,"agg., s.m."
difficilmente,alto_uso,,avv.
difficoltà,fondamentale,,s.f.inv.
diffidente,alta_disponibilita,,"agg., s.m. e f."
diffidenza,alta_disponibilita,,s.f.
diffondere,fondamentale,,v.tr.
diffusione,alto_uso,,s.f.
diffuso,alto_uso,,"p.pass., agg."
diga,alta_disponibilita,,s.f.
digestione,alta_disponibilita,,s.f.
digestivo,alta_disponibilita,,"agg., s.m."
digitale,alto_uso,3,"agg., s.m."
digiunare,alta_disponibilita,,v.intr.
dignità,alto_uso,,s.f.inv.
diluvio,alta_disponibilita,1,s.m.
dimagrante,alta_disponibilita,,"p.pres., agg."
dimensione,fondamentale,,s.f.
dimenticare,fondamentale,,v.tr.
dimettere,alto_uso,,v.tr.
dimezzare,alta_disponibilita,,v.tr.
diminuire,alto_uso,,v.tr. e intr.
dimostrare,fondamentale,,"v.tr., v.intr."
dimostrazione,alto_uso,,s.f.
dinamica,alto_uso,,s.f.
dinamico,alto_uso,,agg.
dinosauro,alta_disponibilita,,s.m.
dintorno,alto_uso,,"avv., s.m."
dio,fondamentale,1,s.m.
dipartimento,alto_uso,1,s.m.
dipendente,fondamentale,,"p.pres., agg., s.m. e f."
dipendenza,alto_uso,1,s.f.
dipendere,fondamentale,,v.intr.
dipingere,alto_uso,,v.tr.
dipinto,alto_uso,,"p.pass., agg., s.m."
diploma,alto_uso,,s.m.
diplomatico,alto_uso,1,"agg., s.m."
dire,fondamentale,,"v.tr. e intr., s.m."
diretta,alto_uso,,s.f.
direttamente,fondamentale,,avv.
diretto,fondamentale,,"p.pass., agg., s.m."
direttore,fondamentale,,"s.m., agg."
direttrice,alta_disponibilita,,s.f.
direzione,fondamentale,,s.f.
dirigente,alto_uso,,"agg., s.m. e f."
dirigere,fondamentale,,v.tr.
diritto,fondamentale,1,s.m.
disagio,alto_uso,,s.m.
disastro,alto_uso,,s.m.
disattento,alta_disponibilita,,agg.
discarica,alto_uso,,s.f.
discendere,alto_uso,,v.intr. e tr.
discepolo,alto_uso,,s.m.
discesa,alto_uso,,s.f.
disciplina,alto_uso,,s.f.
disco,fondamentale,1,s.m.
discordia,alta_disponibilita,,s.f.
discorso,fondamentale,1,s.m.
discoteca,alto_uso,,s.f.
discreto,alto_uso,,"agg., s.m."
discussione,fondamentale,,s.f.
discusso,alto_uso,,"p.pass., agg."
discutere,alto_uso,,v.tr. e intr.
disegnare,fondamentale,,v.tr.
disegno,fondamentale,,s.m.
diseredare,alta_disponibilita,,v.tr.
disgrazia,alto_uso,,s.f.
disinfettante,alta_disponibilita,,"p.pres., agg."
disinfettare,alta_disponibilita,,v.tr.
disinteresse,alta_disponibilita,,s.m.
disoccupazione,alto_uso,1,s.f.
disonesto,alta_disponibilita,,"agg., s.m."
disordinato,alta_disponibilita,,"p.pass., agg."
disordine,alto_uso,,s.m.
dispari,alta_disponibilita,,agg.inv.
dispensa,alta_disponibilita,1,s.f.
disperare,alto_uso,,v.tr. e intr.
disperato,alto_uso,,"p.pass., agg."
disperazione,alto_uso,,s.f.
disperdere,alto_uso,,v.tr.
dispetto,alto_uso,1,s.m.
dispettoso,alta_disponibilita,,agg.
dispiacere,fondamentale,1,v.intr.
disponibile,fondamentale,,"agg., s.m."
disponibilità,alta_disponibilita,,s.f.inv.
disporre,fondamentale,,v.tr. e intr.
dispositivo,alto_uso,,"agg., s.m."
disposizione,fondamentale,1,s.f.
disprezzo,alto_uso,,s.m.
dissenso,alta_disponibilita,,s.m.
distacco,alto_uso,,s.m.
distante,alto_uso,,"p.pres., agg., avv."
distanza,fondamentale,,s.f.
distendere,alto_uso,,v.tr.
disteso,alta_disponibilita,,"p.pass., agg., s.m."
distinguere,alto_uso,,v.tr.
distintivo,alta_disponibilita,,"agg., s.m."
distinto,alto_uso,,"p.pass., agg., s.m."
distinzione,alto_uso,,s.f.
distrarre,alto_uso,,v.tr.
distratto,alta_disponibilita,,"p.pass., agg."
distrazione,alta_disponibilita,,s.f.
distretto,alto_uso,1,s.m.
distribuire,fondamentale,,v.tr.
distributore,alto_uso,,"agg., s.m."
distribuzione,alto_uso,,s.f.
distruggere,fondamentale,,v.tr.
distrutto,alta_disponibilita,,"p.pass., agg."
distruzione,alto_uso,,s.f.
disturbare,alto_uso,,v.tr.
disturbo,alto_uso,,s.m.
disubbidiente,alta_disponibilita,,"p.pres., agg."
disubbidienza,alta_disponibilita,,s.f.
disubbidire,alta_disponibilita,,v.intr.
dito,fondamentale,,s.m.
ditta,alto_uso,,s.f.
dittatura,alto_uso,,s.f.
divano,fondamentale,,s.m.
divano-letto,alta_disponibilita,,s.m.
divenire,fondamentale,,"v.intr., s.m."
diventare,fondamentale,,v.intr.
diversamente,alto_uso,,avv.
diversità,alto_uso,,s.f.inv.
diverso,fondamentale,,"agg., agg.indef., pron.indef., s.m."
divertente,fondamentale,,"p.pres., agg."
divertimento,alto_uso,,s.m.
divertire,fondamentale,,v.tr.
divertito,alto_uso,,"p.pass., agg."
dividere,fondamentale,,v.tr.
divieto,alto_uso,,s.m.
divinità,alto_uso,,s.f.inv.
divino,alto_uso,,"agg., s.m."
divisa,alto_uso,1,s.f.
divisione,alto_uso,,s.f.
divorare,alto_uso,,v.tr.
divorziare,alta_disponibilita,,v.intr.
divorzio,alto_uso,,s.m.
dizionario,alto_uso,,s.m.
do,alta_disponibilita,1,s.m.inv.
doccia,alto_uso,,s.f.
docciaschiuma,alta_disponibilita,,s.m.inv.
docente,alto_uso,,"p.pres., agg., s.m. e f."
docile,alta_disponibilita,,agg.
documentare,alto_uso,,v.tr.
documentario,alto_uso,,"agg., s.m."
documentazione,alto_uso,,s.f.
documento,fondamentale,,s.m.
dodici,fondamentale,,"agg.num.card.inv., s.m.inv., s.f.pl., s.m.pl."
dogana,alta_disponibilita,,s.f.
dolce,fondamentale,,"agg., s.m., avv."
dolcezza,alto_uso,,s.f.
dolcificante,alta_disponibilita,,"p.pres., agg., s.m."
dolciume,alta_disponibilita,,s.m.
dolere,alta_disponibilita,,v.intr.
dolersi,alta_disponibilita,,v.pronom. intr.
dollaro,fondamentale,,s.m.
dolore,fondamentale,,s.m.
doloroso,alto_uso,,agg.
domanda,fondamentale,,s.f.
domandare,fondamentale,,v.tr. e intr.
domani,fondamentale,,"avv., s.m.inv."
domenica,fondamentale,,s.f.
domestica,alta_disponibilita,,s.f.
domestico,alto_uso,,"agg., s.m."
dominante,alto_uso,,"p.pres., agg., s.m. e f."
dominare,alto_uso,,v.tr. e intr.
dominio,alto_uso,,s.m.
don,fondamentale,,s.m.inv.
donare,alto_uso,,v.tr. e intr.
dondolare,alta_disponibilita,,v.tr. e intr.
donna,fondamentale,,s.f.
dono,alto_uso,,s.m.
dopo,fondamentale,,"avv., prep., cong., agg.inv., s.m.inv."
dopobarba,alta_disponibilita,,s.m.inv.
doppio,fondamentale,,"agg., s.m., avv."
doppione,alta_disponibilita,,s.m.
dorato,alto_uso,,"p.pass., agg., s.m."
dormiglione,alta_disponibilita,,"agg., s.m."
dormire,fondamentale,,"v.intr., v.tr."
dorso,alto_uso,,s.m.
dose,alto_uso,,s.f.
dotare,alto_uso,,v.tr.
dotato,alto_uso,,"p.pass., agg."
dote,alto_uso,,s.f.
dottore,fondamentale,,s.m.
dottoressa,alto_uso,,s.f.
dottrina,alto_uso,,s.f.
dove,fondamentale,,"avv., cong., s.m.inv."
dovere,fondamentale,1,v.tr.
dovere,fondamentale,2,s.m.
dovuto,alto_uso,,"p.pass., agg., s.m."
dozzina,alto_uso,,s.f.
drago,alto_uso,,s.m.
dramma,alto_uso,1,s.m.
drammatico,alto_uso,,agg.
dritto,alto_uso,1,"agg., avv., s.m."
drizzare,alta_disponibilita,,"v.tr., v.intr."
droga,fondamentale,,s.f.
drogare,alto_uso,,v.tr.
drogato,alta_disponibilita,,"p.pass., agg., s.m."
dubbio,fondamentale,1,s.m.
dubbio,fondamentale,2,agg.
dubitare,alto_uso,,v.intr. e tr.
dublinese,alto_uso,,"agg., s.m. e f."
due,fondamentale,,"agg.num.card.inv., s.m.inv., s.f.pl."
duecento,alto_uso,,"agg.num.card.inv., s.m.inv."
duello,alto_uso,,s.m.
duemila,alto_uso,,"agg. num.card.inv., s.m.inv."
dunque,fondamentale,,"cong., s.m.inv."
duomo,alta_disponibilita,1,s.m.
durante,fondamentale,,"p.pres., prep., s.m.inv."
durare,fondamentale,,"v.intr., v.tr."
durata,fondamentale,,s.f.
duro,fondamentale,1,"agg., s.m., avv. 1e s.f. e m.inv., 2e cong."
ebbene,alto_uso,,cong.
ebraico,alto_uso,,"agg., s.m."
ebreo,fondamentale,,"agg., s.m."
eccellente,alto_uso,,"p.pres., agg."
eccellenza,alto_uso,,s.f.
eccessivo,alto_uso,,agg.
eccesso,alto_uso,,s.m.
eccetera,alto_uso,,avv.
eccezionale,alto_uso,,agg.
eccezione,alto_uso,,s.f.
eccitare,alto_uso,,v.tr.
ecco,fondamentale,1,avv.
eco,alto_uso,1,"s.f.inv., s.m."
ecologico,alto_uso,,agg.
economia,fondamentale,,s.f.
economico,fondamentale,,"agg., s.m."
economista,alto_uso,,s.m. e f.
edicola,fondamentale,,s.f.
edificio,fondamentale,,s.m.
editore,fondamentale,,"s.m., agg."
editoriale,alto_uso,1,"agg., s.m."
edizione,fondamentale,,s.f.
educare,alto_uso,,v.tr.
educativo,alto_uso,,agg.
educato,alta_disponibilita,,"p.pass., agg."
educazione,fondamentale,,s.f.
effe,alta_disponibilita,,s.f. e m.inv.
effettivamente,fondamentale,,avv.
effettivo,alto_uso,,"agg., s.m."
effetto,fondamentale,,s.m.
effettuare,fondamentale,,v.tr.
efficace,alto_uso,,agg.
efficacia,alto_uso,,s.f.
efficiente,alto_uso,,agg.
efficienza,alto_uso,,s.f.
egiziano,alta_disponibilita,,"agg., s.m."
egli,fondamentale,1,pron.pers. di terza pers.m.sing.
elaborare,alto_uso,,v.tr.
elaborazione,alto_uso,,s.f.
elastico,alto_uso,,"agg., s.m."
elegante,fondamentale,,agg.
eleganza,alto_uso,,s.f.
eleggere,alto_uso,,v.tr.
elementare,fondamentale,,agg.
elemento,fondamentale,,s.m.
elemosina,alta_disponibilita,,s.f.
elencare,alto_uso,,v.tr.
elenco,fondamentale,,s.m.
elettorale,alto_uso,,agg.
elettore,alto_uso,,s.m.
elettricista,alta_disponibilita,,s.m. e f.
elettricità,alta_disponibilita,,s.f.inv.
elettrico,fondamentale,,"agg., s.m."
elettrodomestico,alta_disponibilita,,s.m.
elettromagnetico,alto_uso,,agg.
elettrone,alto_uso,,s.m.
elettronico,fondamentale,,agg.
elevare,alto_uso,,v.tr.
elevato,alto_uso,,"p.pass., agg."
elezione,alto_uso,,s.f.
elica,alta_disponibilita,,s.f.
elicottero,alta_disponibilita,,s.m.
eliminare,fondamentale,,v.tr.
eliminazione,alto_uso,,s.f.
elle,alta_disponibilita,,s.f. e m.inv.
elmo,alta_disponibilita,,s.m.
e-mail,fondamentale,,s.f.inv.
emanare,alto_uso,,v.intr. e tr.
emergenza,alto_uso,,s.f.
emergere,fondamentale,,v.intr.
emettere,alto_uso,,v.tr.
emigrazione,alta_disponibilita,,s.f.
emiliano,alta_disponibilita,,"agg., s.m."
emissione,alto_uso,,s.f.
emme,alta_disponibilita,,s.f. e m.inv.
emmenthal,alta_disponibilita,,s.m.inv.
emo,alto_uso,,s.m.inv.
emotivo,alto_uso,,"agg., s.m."
emozionante,alta_disponibilita,,"p.pres., agg."
emozionare,alto_uso,,v.tr.
emozionato,alta_disponibilita,,"p.pass., agg."
emozione,fondamentale,,s.f.
enciclopedia,alta_disponibilita,,s.f.
energetico,alto_uso,,"agg., s.m."
energia,fondamentale,,s.f.
enne,alta_disponibilita,,s.f. e m.inv.
ennesimo,alto_uso,,agg.
enorme,fondamentale,,agg.
ente,fondamentale,,s.m.
entità,alto_uso,,s.f.inv.
entrambi,fondamentale,,"pron.num.pl., agg.num.pl."
entrare,fondamentale,,"v.intr., v.tr., s.m."
entrata,fondamentale,,s.f.
entro,fondamentale,,"prep., avv."
entusiasmo,alto_uso,,s.m.
entusiasta,alto_uso,,"agg., s.m. e f."
epifania,alta_disponibilita,,s.f.
episodio,fondamentale,,s.m.
epoca,fondamentale,,s.f.
eppure,fondamentale,,cong.
equazione,alto_uso,,s.f.
equilibrio,fondamentale,,s.m.
equino,alta_disponibilita,,"agg., s.m."
equipaggio,alta_disponibilita,,s.m.
equivalere,alto_uso,,v.intr.
equivoco,alto_uso,,"agg., s.m."
era,fondamentale,,s.f.
erba,alto_uso,,s.f.
erede,alto_uso,,s.m. e f.
eredità,alto_uso,,s.f.inv.
ereditare,alto_uso,,v.tr.
ergastolo,alta_disponibilita,,s.m.
ergere,alto_uso,,v.tr.
ernia,alta_disponibilita,,s.f.
eroe,fondamentale,,s.m.
eroina,alta_disponibilita,1,s.f.
erotico,alto_uso,,"agg., s.m."
errare,alto_uso,,"v.intr., v.tr."
erre,alta_disponibilita,1,s.f. e m.inv.
errore,fondamentale,,s.m.
esagerare,alto_uso,,v.tr. e intr.
esagerato,alto_uso,,"p.pass., agg., s.m."
esagerazione,alta_disponibilita,,s.f.
esagono,alta_disponibilita,,"s.m., agg."
esaltare,alto_uso,,v.tr.
esaltazione,alta_disponibilita,,s.f.
esame,fondamentale,,s.m.
esaminare,alto_uso,,v.tr.
esattamente,fondamentale,,avv.
esatto,fondamentale,1,"agg., avv."
esaurire,alto_uso,,v.tr.
esca,alta_disponibilita,,s.f.
eschimese,alta_disponibilita,,"agg., s.m. e f."
esclamare,alto_uso,,v.tr.
esclamazione,alta_disponibilita,,s.f.
escludere,fondamentale,,v.tr.
esclusione,alto_uso,,s.f.
esclusivamente,alto_uso,,avv.
